Pos_X,Pos_Y,Pos_Z,localPos_X,localPos_Y,localPos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W,localRot_X,localRot_Y,localRot_Z,localRot_W,count
1.817851,9.093509,-2.302667,-0.5644102,-0.4283335,-0.2485126,-0.5421835,-0.7685941,-0.1150215,0.3194844,-0.5531573,0.1040476,-0.3304583,0.7576202,
1.817851,9.093509,-2.302667,-0.5644102,-0.4283335,-0.2485126,-0.5421835,-0.7685941,-0.1150215,0.3194844,-0.5531573,0.1040476,-0.3304583,0.7576202,
1.817851,9.093509,-2.302667,-0.5644102,-0.4283335,-0.2485126,-0.5421835,-0.7685941,-0.1150215,0.3194844,-0.5531573,0.1040476,-0.3304583,0.7576202,
1.817851,9.093509,-2.302667,-0.5644102,-0.4283335,-0.2485126,-0.5421835,-0.7685941,-0.1150215,0.3194844,-0.5531573,0.1040476,-0.3304583,0.7576202,
1.817851,9.093509,-2.302667,-0.5644102,-0.4283335,-0.2485126,-0.5421835,-0.7685941,-0.1150215,0.3194844,-0.5531573,0.1040476,-0.3304583,0.7576202,
1.817851,9.093509,-2.302667,-0.5644102,-0.4283335,-0.2485126,-0.5421835,-0.7685941,-0.1150215,0.3194844,-0.5531573,0.1040476,-0.3304583,0.7576202,
1.817851,9.093509,-2.302667,-0.5644102,-0.4283335,-0.2485126,-0.5421835,-0.7685941,-0.1150215,0.3194844,-0.5531573,0.1040476,-0.3304583,0.7576202,
1.817851,9.093509,-2.302667,-0.5644102,-0.4283335,-0.2485126,-0.5421835,-0.7685941,-0.1150215,0.3194844,-0.5531573,0.1040476,-0.3304583,0.7576202,
1.817851,9.093509,-2.302667,-0.5644102,-0.4283335,-0.2485126,-0.5421835,-0.7685941,-0.1150215,0.3194844,-0.5531573,0.1040476,-0.3304583,0.7576202,
